device,bouncers,purchase,referrer
Desktop,FALSE,FALSE,Affiliates
Mobile,FALSE,FALSE,Affiliates
Desktop,TRUE,FALSE,Organic
Desktop,FALSE,FALSE,Organic
Mobile,TRUE,FALSE,Direct
Desktop,TRUE,FALSE,Direct
Desktop,FALSE,FALSE,Referral
Tablet,TRUE,FALSE,Organic
Mobile,TRUE,FALSE,Social
Desktop,TRUE,FALSE,Organic
Mobile,FALSE,FALSE,Organic
Desktop,FALSE,FALSE,Social
Mobile,TRUE,FALSE,Direct
Desktop,FALSE,FALSE,Display
Desktop,TRUE,FALSE,Organic
Desktop,TRUE,FALSE,Referral
Desktop,FALSE,FALSE,Referral
Desktop,TRUE,TRUE,Direct
Desktop,TRUE,FALSE,Organic
Desktop,TRUE,FALSE,Direct
Desktop,FALSE,FALSE,Direct
Desktop,TRUE,FALSE,Direct
Mobile,FALSE,FALSE,Organic
Tablet,FALSE,FALSE,Organic
Desktop,FALSE,FALSE,Referral
Desktop,FALSE,FALSE,Organic
Mobile,TRUE,FALSE,Organic
Desktop,FALSE,FALSE,Organic
Desktop,TRUE,FALSE,Direct
Desktop,TRUE,FALSE,Organic
Mobile,TRUE,FALSE,Organic
Mobile,FALSE,FALSE,Display
Mobile,TRUE,FALSE,Organic
Desktop,TRUE,FALSE,Organic
Desktop,TRUE,FALSE,Social
Desktop,TRUE,FALSE,Organic
Mobile,TRUE,FALSE,Organic
Desktop,FALSE,FALSE,Organic
Desktop,FALSE,FALSE,Organic
Desktop,TRUE,FALSE,Organic
Desktop,TRUE,FALSE,Referral
Mobile,FALSE,FALSE,Social
Mobile,TRUE,FALSE,Organic
Desktop,FALSE,FALSE,Direct
Mobile,FALSE,FALSE,Organic
Desktop,FALSE,FALSE,Direct
Mobile,TRUE,FALSE,Social
Desktop,TRUE,FALSE,Direct
Mobile,TRUE,FALSE,Referral
Mobile,FALSE,FALSE,Direct
Tablet,TRUE,FALSE,Affiliates
Mobile,FALSE,FALSE,Organic
Desktop,TRUE,FALSE,Organic
Desktop,TRUE,FALSE,Direct
Mobile,TRUE,FALSE,Organic
Desktop,TRUE,FALSE,Social
Tablet,FALSE,FALSE,Social
Desktop,TRUE,FALSE,Direct
Desktop,FALSE,FALSE,Organic
Desktop,TRUE,FALSE,Social
Desktop,TRUE,FALSE,Organic
Desktop,FALSE,FALSE,Social
Desktop,TRUE,TRUE,Organic
Desktop,FALSE,FALSE,Organic
Mobile,TRUE,FALSE,Display
Desktop,TRUE,FALSE,Referral
Desktop,FALSE,FALSE,Organic
Desktop,TRUE,FALSE,Organic
Mobile,FALSE,FALSE,Direct
Tablet,FALSE,FALSE,Organic
Mobile,FALSE,FALSE,Organic
Mobile,FALSE,FALSE,Organic
Tablet,TRUE,FALSE,Display
Desktop,FALSE,FALSE,Organic
Desktop,TRUE,FALSE,Social
Desktop,FALSE,FALSE,Organic
Desktop,FALSE,FALSE,Referral
Mobile,TRUE,FALSE,Direct
Desktop,FALSE,FALSE,Direct
Desktop,FALSE,FALSE,Organic
Desktop,TRUE,FALSE,Social
Desktop,FALSE,FALSE,Social
Desktop,TRUE,FALSE,Organic
Mobile,FALSE,FALSE,Organic
Desktop,FALSE,FALSE,Paid
