stock,returns
AAPL,1.377845
AAPL,2.834412
AAPL,-0.03936
AAPL,0.108261
AAPL,1.64357
AAPL,0.068894
AAPL,-0.560975
AAPL,0.55114
AAPL,-0.216522
AAPL,-0.108253
AAPL,-0.925133
AAPL,-1.013703
AAPL,0.403519
AAPL,-0.777504
AAPL,0.826706
AAPL,1.062904
AAPL,1.072762
AAPL,1.801033
AAPL,-0.63971
AAPL,1.860085
AAPL,0
AAPL,0.620033
AAPL,0.147621
AAPL,0.659394
AAPL,0.305099
AAPL,0.108261
AAPL,-0.757812
AAPL,0.226349
AAPL,0.728294
AAPL,-0.492081
AAPL,-0.029525
AAPL,-0.8956
AAPL,0.324776
AAPL,-0.127945
AAPL,0.580658
AAPL,1.279442
AAPL,1.062897
AAPL,0.118095
AAPL,0.629875
AAPL,-0.492088
AAPL,-0.206673
AAPL,0.944801
AAPL,-0.009841
AAPL,-0.206681
AAPL,0.216522
AAPL,0.078736
AAPL,-0.108254
AAPL,1.879769
AAPL,0.059059
AAPL,0.009826
AAPL,-0.314941
AAPL,-0.275558
AAPL,7.282882
AAPL,-0.216522
AAPL,0.541306
AAPL,1.190841
AAPL,1.220383
AAPL,0.501938
AAPL,0.938995
AAPL,-0.296524
AAPL,1.156464
AAPL,1.710022
AAPL,0.484329
AAPL,-0.158157
AAPL,0.365738
AAPL,0.968673
AAPL,0.405243
AAPL,-0.573288
AAPL,0.12851
AAPL,0.266861
AAPL,0.059326
AAPL,2.767609
AAPL,-0.820389
AAPL,0.810501
AAPL,-0.434891
AAPL,0.177918
AAPL,-0.513993
AAPL,-0.316314
AAPL,0.454681
AAPL,0.059311
AAPL,-0.207565
AAPL,1.453018
AAPL,0.227325
AAPL,-0.69191
AAPL,1.453019
AAPL,-1.601288
AAPL,1.561737
AAPL,-0.494217
AAPL,-0.276764
AAPL,0.237244
AAPL,2.88623
AAPL,0.3163
AAPL,-0.187806
AAPL,-0.266861
AAPL,0.039536
AAPL,1.057632
AAPL,-0.741333
AAPL,-0.355835
AAPL,-0.316314
AAPL,-0.16803
AAPL,-1.522186
AAPL,0.168029
AAPL,-0.741333
AAPL,0.770981
AAPL,-0.622726
AAPL,-0.513977
AAPL,1.739639
AAPL,-0.168014
AAPL,1.354141
AAPL,0.879715
AAPL,-0.84018
AAPL,0.10875
AAPL,-0.138413
AAPL,2.896149
AAPL,0.91925
AAPL,-0.444793
AAPL,-0.52388
AAPL,2.401931
AAPL,4.003159
AAPL,0.968689
AAPL,-0.721573
AAPL,1.310135
AAPL,2.133926
AAPL,-0.397033
AAPL,-0.228272
AAPL,-5.180954
AAPL,2.272858
AAPL,0.516128
AAPL,0.923035
AAPL,-0.188568
AAPL,-0.456574
AAPL,0.526032
AAPL,-0.258041
AAPL,0.059539
AAPL,-0.903183
AAPL,0.416855
AAPL,2.253021
AAPL,-1.508636
AAPL,0.516129
AAPL,0.913116
AAPL,-0.377167
AAPL,-5.965042
AAPL,-3.533386
AAPL,1.161255
AAPL,-1.419296
AAPL,-0.863511
AAPL,-2.004867
AAPL,4.039551
AAPL,-1.320069
AAPL,0.853577
AAPL,-0.23819
AAPL,0.645127
AAPL,-0.456543
AAPL,-2.074387
AAPL,2.08429
AAPL,-2.133927
AAPL,0.337479
AAPL,-0.516113
AAPL,0.585571
AAPL,-1.349823
AAPL,1.439148
AAPL,0.873428
AAPL,0.466477
AAPL,0.208435
AAPL,2.014831
AAPL,1.260483
AAPL,0.516113
AAPL,0.516129
AAPL,0.932968
AAPL,-0.674927
AAPL,-0.069473
AAPL,1.806381
AAPL,0.645157
AAPL,0.7146
AAPL,-2.878312
AAPL,-1.052078
AAPL,-0.764236
AAPL,1.310135
AAPL,7.036972
AAPL,-1.558258
AAPL,0.813858
AAPL,2.401901
AAPL,1.260498
AAPL,0.972671
AAPL,-5.091674
AAPL,2.152252
AAPL,2.361511
AAPL,1.743729
AAPL,-0.647675
AAPL,-3.078934
AAPL,-0.358703
AAPL,-0.288956
AAPL,2.560791
AAPL,0.19928
AAPL,-0.707459
AAPL,0.587891
AAPL,1.604233
AAPL,1.434845
AAPL,0.438431
AAPL,0.647659
AAPL,0.04982
AAPL,-1.962937
AAPL,-0.169387
AAPL,-0.64769
AAPL,-2.62056
AAPL,2.859711
AAPL,-0.637711
AAPL,-1.205673
AAPL,-1.365082
AAPL,1.594269
AAPL,-1.205673
AAPL,0.059784
AAPL,-2.650452
AAPL,-2.67041
AAPL,-1.494629
AAPL,-1.335205
AAPL,2.580719
AAPL,1.086105
AAPL,-0.946594
AAPL,0.836975
AAPL,-0.308884
AAPL,0.667603
AAPL,-0.996414
AAPL,1.903152
AAPL,-0.089676
AAPL,0.538071
AAPL,0.059769
AAPL,0.64769
AAPL,-0.548035
AAPL,0.986465
AAPL,2.879639
AAPL,0.587891
